                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.38523,                0.46901,                0.46289,                 0.7978,                0.72474,                0.87386,                0.85719,                0.69409,                0.72474,                0.87386,                0.86076,                0.67702,                0.70008,                 1.3115,                0.96173,                 0.9907,               0.000109,               0.000109,               0.000109
                     92,                0.39079,                0.46568,                0.47344,                0.79972,                0.74381,                  0.871,                0.86504,                0.71092,                0.74381,                  0.871,                 0.8655,                0.69247,                0.65308,                 1.2502,                0.94757,                0.96839,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 0.3586,                0.45845,                 0.4621,                0.78463,                0.74266,                0.87889,                0.86531,                0.71139,                0.74266,                0.87889,                 0.8657,                0.68613,                0.64568,                 1.2547,                0.94853,                0.96573,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.36311,                0.45109,                0.46529,                0.78596,                0.77648,                0.86588,                0.86465,                0.70808,                0.77648,                0.86588,                0.86425,                0.68171,                 0.6721,                 1.2761,                0.94187,                0.97985,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.38275,                0.46378,                0.46991,                0.79954,                0.76526,                0.87625,                0.86045,                0.70563,                 0.7803,                0.86859,                0.86413,                0.67934,                0.68172,                 1.3046,                0.95655,                0.98531,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.37261,                0.46011,                0.43562,                0.79623,                0.78865,                0.86507,                0.86044,                0.70306,                0.79439,                 0.8666,                0.86329,                0.68079,                0.68322,                 1.3164,                0.98688,                0.98421,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.36479,                0.45115,                0.44613,                0.79559,                 0.7911,                0.85829,                0.87077,                0.71335,                 0.7911,                0.85829,                0.87077,                0.68804,                0.67256,                 1.2928,                0.97363,                0.98054,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.36031,                0.44239,                0.43773,                0.78739,                0.78527,                0.86689,                0.87226,                0.71333,                0.78527,                0.86689,                0.87226,                0.68704,                0.67381,                 1.2878,                0.96104,                0.98223,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.36301,                0.45239,                0.44061,                0.79548,                 0.7633,                0.87604,                0.86046,                0.70415,                 0.7695,                0.87898,                0.86329,                0.67677,                 0.6893,                 1.3362,                 1.0144,                0.98848,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.36753,                 0.4431,                0.44022,                0.79076,                0.77065,                0.86868,                0.85911,                0.70293,                0.77573,                0.86747,                0.86161,                0.67682,                0.68849,                 1.3413,                 1.0253,                 0.9859,               1.99e-05,               1.99e-05,               1.99e-05
